game,name,split,first_plotted_idx,first_plotted_status,first_plotted_info,first_valid_idx,first_valid_it,first_valid_info,first_train_score,ship_idx,ship_it,ship_info,ship_train_score,ship_mean_out_chars,ship_diversity,first_diversity,absolute_change,relative_change,log_change,valid_incumbents,n_frames,mean_raw_gz,mean_grid_cells,mean_nonmodal_cells,mean_colors,raw_mean_chars,train_test_shared_frames,test_frame_overlap_fraction,up_jumps,down_jumps,flat_incumbent_updates,monotonic
7www9,Magnets,train,1,ok,0.6195601311522053,1,1,0.6195601311522053,0.8425724637681159,14,20,0.9474568146165626,0.9503623188405796,57.57142857142857,0.2935647143890094,0.25668835864063627,0.3278966834643573,0.529241096993383,0.4247715973111875,4,56,70.51785714285714,256.0,3.892857142857143,2.982142857142857,2330.1071428571427,22,0.44,2,0,1,1
7www9,Magnets,test,1,ok,0.6283372986608231,1,1,0.6283372986608231,0.8425724637681159,14,20,0.9569776727491741,0.9503623188405796,58.24,0.3132137030995106,0.26835236541598695,0.328640374088351,0.5230317773412196,0.42070293866004227,4,50,70.14,256.0,3.92,2.98,2330.08,22,0.44,2,0,1,1
7xf97,Grow,train,1,ok,1.2556742618316283,1,1,1.2556742618316283,0.20677730496453903,23,27,1.4831495661660588,0.6517085106382978,194.24657534246575,0.5092954990215264,0.6541095890410958,0.22747530433443042,0.18115789361057422,0.1664952231227054,5,73,92.47945205479452,256.0,28.10958904109589,4.506849315068493,2319.6575342465753,12,0.18461538461538463,1,1,2,0
7xf97,Grow,test,1,ok,1.2649404464330176,1,1,1.2649404464330176,0.20677730496453903,23,27,1.4635345447632249,0.6517085106382978,197.43076923076924,0.47204610951008646,0.592507204610951,0.19859409833020725,0.15699877325467693,0.14582938792979933,5,65,94.18461538461538,256.0,29.26153846153846,4.6,2319.476923076923,12,0.18461538461538463,1,1,2,0
SET,SET,train,1,ok,2.4160654371368673,1,1,2.4160654371368673,0.08670267774699908,12,19,2.61858079817096,0.34893536472760844,1341.2121212121212,1.0719393282773564,1.1094257854821234,0.20251536103409284,0.08382031294404069,0.08049212631050333,3,99,133.88888888888889,400.0,118.63636363636364,5.212121212121212,3650.030303030303,3,0.03896103896103896,1,0,1,1
SET,SET,test,1,ok,2.316239726857479,1,1,2.316239726857479,0.08670267774699908,12,19,2.511721170652024,0.34893536472760844,1259.5324675324675,1.0886615515771525,1.1244671781756181,0.19548144379454513,0.08439603272833995,0.0810231801409743,3,77,131.58441558441558,400.0,112.01298701298701,5.038961038961039,3644.2077922077924,3,0.03896103896103896,1,0,1,1
bt3gb,Ice,train,1,syntax,0.21262347412443666,2,2,0.8537518036610764,0.140068085106383,12,22,1.2510821467029827,0.7250602836879433,146.2127659574468,0.4575242718446602,0.4866504854368932,0.3973303430419063,0.4653932692593632,0.3821236496250596,6,94,94.98936170212765,256.0,15.191489361702128,3.6382978723404253,2337.6702127659573,5,0.06493506493506493,3,1,1,0
bt3gb,Ice,test,1,syntax,0.2164504533886684,2,2,0.8680049525050604,0.140068085106383,12,22,1.277737081640619,0.7250602836879433,157.37662337662337,0.43826530612244896,0.44642857142857145,0.4097321291355587,0.4720389301386734,0.386648467062043,6,77,93.0909090909091,256.0,14.74025974025974,3.1948051948051948,2347.103896103896,5,0.06493506493506493,3,1,1,0
colour_lines,Colour Lines,train,1,ok,1.0981763028850868,1,1,1.0981763028850868,0.07003296703296703,12,19,1.1120483498541336,0.46684981684981686,175.54128440366972,0.5990361445783132,0.6062650602409638,0.013872046969046758,0.012631894289289125,0.012552777479413135,4,109,108.41284403669725,100.0,14.724770642201834,5.458715596330276,914.5688073394496,1,0.011363636363636364,2,1,0,0
colour_lines,Colour Lines,test,1,ok,1.1052548765056864,1,1,1.1052548765056864,0.07003296703296703,12,19,1.1213196076264882,0.46684981684981686,157.3068181818182,0.5874125874125874,0.5903263403263403,0.016064731120801756,0.014534865633518912,0.014430247000749298,4,88,103.22727272727273,100.0,13.147727272727273,5.488636363636363,913.6818181818181,1,0.011363636363636364,2,1,0,0
