game,split,previous,idx,iteration,delta_info,delta_score,p_same,k_same,component
egg,train,2,3,4,0.0,0.07083865248226962,1,0,world_knowledge
egg,train,3,5,7,0.06982587781526495,0.08250744680851063,0,1,perception
egg,train,5,8,13,0.5116820438219565,0.07834255319148942,0,1,perception
egg,test,1,2,3,0.11375402484488273,0.03329787234042547,0,1,perception
egg,test,2,3,4,0.0,0.07083865248226962,1,0,world_knowledge
egg,test,3,5,7,0.06851144786894792,0.08250744680851063,0,1,perception
egg,test,5,8,13,0.5081677660188606,0.07834255319148942,0,1,perception
f5w3n,train,1,2,4,0.0,0.35855855855855856,1,0,world_knowledge
f5w3n,train,2,5,8,0.0,0.07612612612612613,1,0,world_knowledge
f5w3n,train,5,8,12,0.0,0.0022522522522522292,1,0,world_knowledge
f5w3n,train,8,10,18,0.3492091794933265,0.014414414414414434,0,1,perception
f5w3n,train,10,11,19,-0.27687036236282236,0.00810810810810808,0,0,perception
f5w3n,train,11,12,20,0.27687036236282236,0.05180180180180177,0,0,world_knowledge
f5w3n,train,12,14,23,-0.22005933401751165,0.020720720720720842,0,0,perception
f5w3n,train,14,16,25,0.23191403184791048,0.0036036036036034558,0,0,perception
f5w3n,train,16,20,30,-0.5948895387638103,0.011261261261261257,0,0,perception
f5w3n,test,1,2,4,0.0,0.35855855855855856,1,0,world_knowledge
f5w3n,test,2,5,8,0.0,0.07612612612612613,1,0,world_knowledge
f5w3n,test,5,8,12,0.0,0.0022522522522522292,1,0,world_knowledge
f5w3n,test,8,10,18,0.3365321100954408,0.014414414414414434,0,1,perception
f5w3n,test,10,11,19,-0.27810677011205365,0.00810810810810808,0,0,perception
f5w3n,test,11,12,20,0.27810677011205365,0.05180180180180177,0,0,world_knowledge
f5w3n,test,12,14,23,-0.22304309113377996,0.020720720720720842,0,0,perception
f5w3n,test,14,16,25,0.23587439037166535,0.0036036036036034558,0,0,perception
f5w3n,test,16,20,30,-0.5846039904966526,0.011261261261261257,0,0,perception
logic_gates,train,1,2,3,0.24234622669878036,0.14778462328327557,0,1,perception
logic_gates,train,2,3,4,0.0,0.01806491464510332,1,0,world_knowledge
logic_gates,train,3,14,17,-1.376102172522904,0.0549958285200873,0,0,perception
logic_gates,train,14,17,20,1.376102172522904,0.005573738929534056,0,0,world_knowledge
logic_gates,test,1,2,3,0.24234622669878036,0.14778462328327557,0,1,perception
logic_gates,test,2,3,4,0.0,0.01806491464510332,1,0,world_knowledge
logic_gates,test,3,14,17,-1.376102172522904,0.0549958285200873,0,0,perception
logic_gates,test,14,17,20,1.376102172522904,0.005573738929534056,0,0,world_knowledge
n2ntd,train,1,3,4,0.11283899394878771,0.2611276701440635,0,0,world_knowledge
n2ntd,train,3,6,7,-0.1848461340904619,0.05695168902136116,0,1,perception
n2ntd,train,6,16,20,-0.06536198135975724,0.038884749130650875,0,0,world_knowledge
n2ntd,test,1,3,4,0.10698725464820935,0.2611276701440635,0,0,world_knowledge
n2ntd,test,3,6,7,-0.20338670315786667,0.05695168902136116,0,1,perception
n2ntd,test,6,16,20,-0.06318882711949492,0.038884749130650875,0,0,world_knowledge
s2kt7,train,1,4,12,0.2734934326027717,0.2550482569864592,0,0,world_knowledge
s2kt7,train,4,23,35,0.6415790830454589,0.031696197061365616,0,1,perception
s2kt7,test,1,4,12,0.27978549224939975,0.2550482569864592,0,0,world_knowledge
s2kt7,test,4,23,35,0.6565848743889703,0.031696197061365616,0,1,perception
va6fq,train,1,2,2,0.0008580653745628997,0.006659340659340651,0,1,perception
va6fq,train,2,7,9,0.10141838914708101,0.09998168498168503,0,0,perception
va6fq,train,7,24,32,0.05436400000316777,0.003347985347985305,0,0,world_knowledge
va6fq,test,1,2,2,0.017980096388777733,0.006659340659340651,0,1,perception
va6fq,test,2,7,9,0.09512376196058914,0.09998168498168503,0,0,perception
va6fq,test,7,24,32,0.05243232036502676,0.003347985347985305,0,0,world_knowledge
