game,split,parent,idx,iteration,p_same,k_same,nonempty_k,delta_info,delta_score
7www9,train,3,4,4,1,0,0,0.0,0.13152173913043474
7www9,train,1,5,5,0,1,0,0.19882635766124868,-0.6997282608695652
7www9,train,1,6,6,0,1,0,0.13605839392238217,-0.06702898550724634
7www9,train,4,7,7,0,1,1,-0.04216122969400338,-0.7690217391304348
7www9,train,6,8,8,1,0,0,0.0,0.019202898550724545
7www9,train,3,9,9,0,1,0,0.11528834736555593,0.03188405797101446
7www9,train,4,10,15,0,1,1,0.29618110087639826,-0.023731884057970887
7www9,train,9,11,16,1,0,0,0.0,0.10516304347826089
7www9,train,2,12,17,0,1,0,0.06843362146549303,-0.12481884057971016
7www9,train,10,13,19,0,1,1,-0.02129215716234656,0.007427536231883969
7www9,train,11,14,20,1,0,1,0.0,0.06150362318840574
7www9,train,14,16,22,0,1,1,0.09932737939757763,-0.032971014492753636
7www9,train,11,17,23,0,1,1,-0.04256887688467614,0.028170289855072417
7www9,train,14,18,24,1,0,1,0.0,-0.028532608695652217
7www9,train,16,19,25,0,1,1,0.36954837849549826,0.01666666666666672
7www9,train,18,20,27,0,1,1,0.258744948143799,0.0
7www9,train,3,21,28,1,0,0,0.0,0.020018115942028958
7www9,train,13,22,31,0,1,1,0.008873873873873839,0.008514492753623149
7www9,train,17,23,32,1,0,1,0.0,0.0
7www9,train,20,27,37,0,1,1,0.09246421569933694,-0.0455615942028984
7www9,train,13,28,38,0,1,1,0.008873873873873839,-0.020742753623188448
7www9,train,23,29,39,0,1,1,0.004794079794079753,0.00851449275362326
7www9,test,3,4,4,1,0,0,0.0,0.13152173913043474
7www9,test,1,5,5,0,1,0,0.19429464569978672,-0.6997282608695652
7www9,test,1,6,6,0,1,0,0.1350326202646751,-0.06702898550724634
7www9,test,4,7,7,0,1,1,-0.04648796644167563,-0.7690217391304348
7www9,test,6,8,8,1,0,0,0.0,0.019202898550724545
7www9,test,3,9,9,0,1,0,0.1163858019788161,0.03188405797101446
7www9,test,4,10,15,0,1,1,0.2980989255420966,-0.023731884057970887
7www9,test,9,11,16,1,0,0,0.0,0.10516304347826089
7www9,test,2,12,17,0,1,0,0.0680745849027593,-0.12481884057971016
7www9,test,10,13,19,0,1,1,-0.017284495811915823,0.007427536231883969
7www9,test,11,14,20,1,0,1,0.0,0.06150362318840574
