game,split,baseline,first_idx,first_iteration,first_info,ship_info,relative_change
dq8gc,train,first_nonempty_k_incumbent,4,8,0.7115816573079755,1.0449997778797877,0.46855918382323813
dq8gc,train,incumbent_at_iteration_3,2,3,0.7115816573079755,1.0449997778797877,0.46855918382323813
dq8gc,train,incumbent_at_iteration_10,4,8,0.7115816573079755,1.0449997778797877,0.46855918382323813
dq8gc,train,incumbent_at_iteration_20,10,16,0.9221696435930238,1.0449997778797877,0.13319689618949537
dq8gc,test,first_valid_incumbent,1,2,0.6268464478221075,1.0672967672795957,0.7026446763601719
dq8gc,test,first_nonempty_k_incumbent,4,8,0.7193403560985233,1.0672967672795957,0.4837159603671881
dq8gc,test,incumbent_at_iteration_3,2,3,0.7193403560985233,1.0672967672795957,0.4837159603671881
dq8gc,test,incumbent_at_iteration_10,4,8,0.7193403560985233,1.0672967672795957,0.4837159603671881
dq8gc,test,incumbent_at_iteration_20,10,16,0.9585541658051014,1.0672967672795957,0.11344439923555072
eahcw,train,first_valid_incumbent,1,1,0.8342770022153371,1.2123372752960508,0.453159169049145
eahcw,train,first_nonempty_k_incumbent,5,8,0.9356635544425717,1.2123372752960508,0.2956978708210021
eahcw,train,incumbent_at_iteration_3,1,1,0.8342770022153371,1.2123372752960508,0.453159169049145
eahcw,train,incumbent_at_iteration_10,5,8,0.9356635544425717,1.2123372752960508,0.2956978708210021
eahcw,train,incumbent_at_iteration_20,14,20,1.1384003665648732,1.2123372752960508,0.06494807178803219
eahcw,test,first_valid_incumbent,1,1,0.7202414770288234,1.1275995054208439,0.5655853507249742
eahcw,test,first_nonempty_k_incumbent,5,8,0.8185172403357699,1.1275995054208439,0.37761240674452146
eahcw,test,incumbent_at_iteration_3,1,1,0.7202414770288234,1.1275995054208439,0.5655853507249742
eahcw,test,incumbent_at_iteration_10,5,8,0.8185172403357699,1.1275995054208439,0.37761240674452146
eahcw,test,incumbent_at_iteration_20,14,20,1.0498505909201912,1.1275995054208439,0.07405712314978641
egg,train,first_valid_incumbent,1,2,1.2664995480404904,1.9621219298069552,0.5492480300073708
egg,train,first_nonempty_k_incumbent,3,4,1.3806140081697338,1.9621219298069552,0.42119514809799785
egg,train,incumbent_at_iteration_3,2,3,1.3806140081697338,1.9621219298069552,0.42119514809799785
egg,train,incumbent_at_iteration_10,5,7,1.4504398859849987,1.9621219298069552,0.35277714627550494
egg,train,incumbent_at_iteration_20,8,13,1.9621219298069552,1.9621219298069552,0.0
egg,test,first_valid_incumbent,1,2,1.2576793630122112,1.9481126017449024,0.5489739746377533
egg,test,first_nonempty_k_incumbent,3,4,1.371433387857094,1.9481126017449024,0.4204937833611351
egg,test,incumbent_at_iteration_3,2,3,1.371433387857094,1.9481126017449024,0.4204937833611351
egg,test,incumbent_at_iteration_10,5,7,1.4399448357260418,1.9481126017449024,0.35290780133437183
egg,test,incumbent_at_iteration_20,8,13,1.9481126017449024,1.9481126017449024,0.0
f5w3n,train,first_valid_incumbent,1,3,0.9988916545697157,0.7650659931296308,-0.2340851086004999
f5w3n,train,first_nonempty_k_incumbent,2,4,0.9988916545697157,0.7650659931296308,-0.2340851086004999
f5w3n,train,incumbent_at_iteration_3,1,3,0.9988916545697157,0.7650659931296308,-0.2340851086004999
f5w3n,train,incumbent_at_iteration_10,5,8,0.9988916545697157,0.7650659931296308,-0.2340851086004999
f5w3n,train,incumbent_at_iteration_20,12,20,1.3481008340630423,0.7650659931296308,-0.4324860768583625
f5w3n,test,first_valid_incumbent,1,3,1.0181372516172589,0.7828966704539325,-0.23104996972624148
f5w3n,test,first_nonempty_k_incumbent,2,4,1.0181372516172589,0.7828966704539325,-0.23104996972624148
f5w3n,test,incumbent_at_iteration_3,1,3,1.0181372516172589,0.7828966704539325,-0.23104996972624148
f5w3n,test,incumbent_at_iteration_10,5,8,1.0181372516172589,0.7828966704539325,-0.23104996972624148
f5w3n,test,incumbent_at_iteration_20,12,20,1.3546693617126997,0.7828966704539325,-0.4220754579817755
logic_gates,train,first_valid_incumbent,1,2,1.5308563990729158,1.7732026257716962,0.15830761581918784
logic_gates,train,first_nonempty_k_incumbent,3,4,1.7732026257716962,1.7732026257716962,0.0
logic_gates,train,incumbent_at_iteration_3,2,3,1.7732026257716962,1.7732026257716962,0.0
logic_gates,train,incumbent_at_iteration_10,3,4,1.7732026257716962,1.7732026257716962,0.0
logic_gates,train,incumbent_at_iteration_20,17,20,1.7732026257716962,1.7732026257716962,0.0
logic_gates,test,first_valid_incumbent,1,2,1.5308563990729158,1.7732026257716962,0.15830761581918784
logic_gates,test,first_nonempty_k_incumbent,3,4,1.7732026257716962,1.7732026257716962,0.0
logic_gates,test,incumbent_at_iteration_3,2,3,1.7732026257716962,1.7732026257716962,0.0
logic_gates,test,incumbent_at_iteration_10,3,4,1.7732026257716962,1.7732026257716962,0.0
logic_gates,test,incumbent_at_iteration_20,17,20,1.7732026257716962,1.7732026257716962,0.0
n2ntd,train,first_valid_incumbent,1,1,1.297596280301849,1.1602271588004176,-0.1058642996953385
n2ntd,train,first_nonempty_k_incumbent,3,4,1.4104352742506368,1.1602271588004176,-0.1773978005358342
n2ntd,train,incumbent_at_iteration_3,1,1,1.297596280301849,1.1602271588004176,-0.1058642996953385
n2ntd,train,incumbent_at_iteration_10,6,7,1.2255891401601748,1.1602271588004176,-0.05333107092578748
n2ntd,train,incumbent_at_iteration_20,16,20,1.1602271588004176,1.1602271588004176,0.0
n2ntd,test,first_valid_incumbent,1,1,1.313698697271746,1.1541104216425937,-0.12148012018325116
n2ntd,test,first_nonempty_k_incumbent,3,4,1.4206859519199553,1.1541104216425937,-0.18763860508165353
n2ntd,test,incumbent_at_iteration_3,1,1,1.313698697271746,1.1541104216425937,-0.12148012018325116
n2ntd,test,incumbent_at_iteration_10,6,7,1.2172992487620886,1.1541104216425937,-0.051909033200959964
n2ntd,test,incumbent_at_iteration_20,16,20,1.1541104216425937,1.1541104216425937,0.0
s2kt7,train,first_valid_incumbent,1,2,0.673007858990243,1.5880803746384735,1.3596758246198979
s2kt7,train,first_nonempty_k_incumbent,4,12,0.9465012915930147,1.5880803746384735,0.6778427971985599
s2kt7,train,incumbent_at_iteration_3,1,2,0.673007858990243,1.5880803746384735,1.3596758246198979
s2kt7,train,incumbent_at_iteration_10,1,2,0.673007858990243,1.5880803746384735,1.3596758246198979
s2kt7,train,incumbent_at_iteration_20,4,12,0.9465012915930147,1.5880803746384735,0.6778427971985599
s2kt7,test,first_valid_incumbent,1,2,0.6752712950397373,1.6116416616781073,1.3866580343582768
s2kt7,test,first_nonempty_k_incumbent,4,12,0.955056787289137,1.6116416616781073,0.6874825488153864
s2kt7,test,incumbent_at_iteration_3,1,2,0.6752712950397373,1.6116416616781073,1.3866580343582768
s2kt7,test,incumbent_at_iteration_10,1,2,0.6752712950397373,1.6116416616781073,1.3866580343582768
s2kt7,test,incumbent_at_iteration_20,4,12,0.955056787289137,1.6116416616781073,0.6874825488153864
va6fq,train,first_valid_incumbent,1,1,1.4479574950802634,1.604597949605075,0.10818028502703303
va6fq,train,first_nonempty_k_incumbent,7,9,1.5502339496019073,1.604597949605075,0.03506825535405689
va6fq,train,incumbent_at_iteration_3,2,2,1.4488155604548263,1.604597949605075,0.10752396191917213
va6fq,train,incumbent_at_iteration_10,7,9,1.5502339496019073,1.604597949605075,0.03506825535405689
va6fq,train,incumbent_at_iteration_20,7,9,1.5502339496019073,1.604597949605075,0.03506825535405689
va6fq,test,first_valid_incumbent,1,1,1.3289054014194326,1.4944415801338262,0.1245658107323373
va6fq,test,first_nonempty_k_incumbent,7,9,1.4420092597687995,1.4944415801338262,0.036360598941946654
va6fq,test,incumbent_at_iteration_3,2,2,1.3468854978082103,1.4944415801338262,0.1095535459886785
va6fq,test,incumbent_at_iteration_10,7,9,1.4420092597687995,1.4944415801338262,0.036360598941946654
va6fq,test,incumbent_at_iteration_20,7,9,1.4420092597687995,1.4944415801338262,0.036360598941946654
