game,idx,iteration,ship,status,n_frames,n_errors,original,stripped_header,ratio_of_means,compact_raw,palette_grid_raw,frame_lzma,frame_bzip,gzip_level1,gzip_level9,mean_out_chars,mean_out_gzip,mean_raw_gzip,mean_raw_chars,corpus_gzip,corpus_lzma,output_reuse,raw_reuse,code_sha
7www9,1,1,0,ok,56,0,0.6195601311522053,0.48919808724855907,0.6191440871106609,0.6550230893776623,0.8462864470288077,0.7333901803212942,0.7044762612968333,0.45152259139298156,0.6426362614665618,35.464285714285715,43.660714285714285,70.51785714285714,2330.1071428571427,0.25668835864063627,0.41125541125541126,6.887323943661972,2.8553868402024585,1babf3b83ece7578c57be372589580dda179179300c89e1e766d2eed690962b9
7www9,4,4,0,ok,56,0,0.8321684672510067,0.7748258335803424,0.8316029374525197,0.879882561095334,1.136981620070593,0.8620257391054309,0.8782575727938584,0.6061367853285683,0.8631630852970841,49.57142857142857,58.642857142857146,70.51785714285714,2330.1071428571427,0.2841648590021692,0.4329004329004329,8.356234096692113,2.8553868402024585,b947bb0152eb40d23f59f7a27aa4d1b952ae0c2cc38bb8a939cddd88f3e52840
7www9,11,16,0,ok,56,0,0.9474568146165626,0.9297029923031134,0.9468219802481641,1.0018467893484166,1.2948151714021632,0.9248848872140625,0.9877163167397771,0.6901258990094351,0.9827687076228334,57.57142857142857,66.76785714285714,70.51785714285714,2330.1071428571427,0.2935647143890094,0.45021645021645024,9.20935960591133,2.8553868402024585,ec0cee072335d2a7e7b2cb880b8ecacfcece126b7152313481fb8de1f6faffea
7www9,14,20,1,ok,56,0,0.9474568146165626,0.9297029923031134,0.9468219802481641,1.0018467893484166,1.2948151714021632,0.9248848872140625,0.9877163167397771,0.6901258990094351,0.9827687076228334,57.57142857142857,66.76785714285714,70.51785714285714,2330.1071428571427,0.2935647143890094,0.45021645021645024,9.20935960591133,2.8553868402024585,ec0cee072335d2a7e7b2cb880b8ecacfcece126b7152313481fb8de1f6faffea
7xf97,1,1,0,ok,73,0,1.2556742618316283,1.3180478743760258,1.2568508369130498,1.3506040688353222,1.6955196479674899,1.0962769955606613,1.065784000002907,1.0729659927830504,1.2635802758435721,283.4931506849315,116.23287671232876,92.47945205479452,2319.6575342465753,0.6541095890410958,0.7099767981438515,6.346297681376216,3.3028375733855184,4279572377bef86b7f6c3351d94e43e35e9f2e44b5a801a8269f6827fba69994
7xf97,2,3,0,ok,73,0,1.2467010882274054,1.306852945403479,1.2479632647015257,1.3409382580031795,1.6833098276169176,1.1153633812751325,1.0445257373550936,1.0658611835321665,1.2545636054256843,283.4931506849315,115.41095890410959,92.47945205479452,2319.6575342465753,0.6536203522504892,0.7331786542923434,6.306137724550898,3.3028375733855184,89b0a9659419802ee275593b8ce65a83aebdd28bbb9bafade80c20b00076a3e7
7xf97,7,8,0,ok,73,0,1.2467010882274054,1.306852945403479,1.2479632647015257,1.3409382580031795,1.6833098276169176,1.1153633812751325,1.0445257373550936,1.0658611835321665,1.2545636054256843,283.4931506849315,115.41095890410959,92.47945205479452,2319.6575342465753,0.6536203522504892,0.7331786542923434,6.306137724550898,3.3028375733855184,89b0a9659419802ee275593b8ce65a83aebdd28bbb9bafade80c20b00076a3e7
7xf97,10,12,0,ok,73,0,1.2467010882274054,1.306852945403479,1.2479632647015257,1.3409382580031795,1.6833098276169176,1.1153633812751325,1.0445257373550936,1.0658611835321665,1.2545636054256843,283.4931506849315,115.41095890410959,92.47945205479452,2319.6575342465753,0.6536203522504892,0.7331786542923434,6.306137724550898,3.3028375733855184,89b0a9659419802ee275593b8ce65a83aebdd28bbb9bafade80c20b00076a3e7
7xf97,23,27,1,ok,73,0,1.4831495661660588,1.60306819528952,1.4785957635905793,1.5954668977792452,2.0074786675870775,1.3632548422413138,1.2764331373533384,1.1739460608340968,1.4926326984059062,194.24657534246575,136.73972602739727,92.47945205479452,2319.6575342465753,0.5092954990215264,0.5823665893271461,9.588856868395773,3.3028375733855184,4fc34a65164c48e659b7d3a55e90d62776cdb7226acfa3eb1bbe6000b4f6792f
SET,1,1,0,ok,99,0,2.4160654371368673,2.6325041732904757,2.4441342889475672,2.531289922634337,3.223392457587389,1.819315125808424,2.0095379369932886,1.51971279504974,2.477258878675719,1318.2121212121212,327.24242424242425,133.88888888888889,3650.030303030303,1.1094257854821234,0.8657844990548205,6.3275390625,2.8721560130010833,5c593c8c6828299efd068ce32010999fbf9061bcddca4943423dcdf22c9ef292
SET,2,4,0,ok,99,0,2.4160654371368673,2.6325041732904757,2.4441342889475672,2.531289922634337,3.223392457587389,1.819315125808424,2.0095379369932886,1.51971279504974,2.477258878675719,1318.2121212121212,327.24242424242425,133.88888888888889,3650.030303030303,1.1094257854821234,0.8657844990548205,6.3275390625,2.8721560130010833,5c593c8c6828299efd068ce32010999fbf9061bcddca4943423dcdf22c9ef292
SET,12,19,1,ok,99,0,2.61858079817096,2.867691695388883,2.6443606186344772,2.743394287067698,3.497433177207035,1.9040295277176664,2.1603777286433092,1.6240923739621125,2.685127845267245,1341.2121212121212,354.050505050505,133.88888888888889,3650.030303030303,1.0719393282773564,0.7873345935727788,7.085304224782696,2.8721560130010833,98ac8118d5bdb52e9b9e469f1dc327f7769f772ff7eb4b7c6d88d73b36107934
