game,first_idx,ship_idx,n_incumbents,mean_raw_gzip,min_raw_gzip,max_raw_gzip,mean_compact_raw_gzip,mean_palette_grid_raw_gzip,original_first,stripped_header_first,ratio_of_means_first,compact_raw_first,palette_grid_raw_first,frame_lzma_first,frame_bzip_first,gzip_level1_first,gzip_level9_first,mean_out_chars_first,corpus_gzip_first,corpus_lzma_first,output_reuse_first,raw_reuse_first,original_ship,stripped_header_ship,ratio_of_means_ship,compact_raw_ship,palette_grid_raw_ship,frame_lzma_ship,frame_bzip_ship,gzip_level1_ship,gzip_level9_ship,mean_out_chars_ship,corpus_gzip_ship,corpus_lzma_ship,output_reuse_ship,raw_reuse_ship
7www9,1,14,4,70.51785714285714,66,75,66.66071428571429,51.67857142857143,0.6195601311522053,0.48919808724855907,0.6191440871106609,0.6550230893776623,0.8462864470288077,0.7333901803212942,0.7044762612968333,0.45152259139298156,0.6426362614665618,35.464285714285715,0.25668835864063627,0.41125541125541126,6.887323943661972,2.8553868402024585,0.9474568146165626,0.9297029923031134,0.9468219802481641,1.0018467893484166,1.2948151714021632,0.9248848872140625,0.9877163167397771,0.6901258990094351,0.9827687076228334,57.57142857142857,0.2935647143890094,0.45021645021645024,9.20935960591133,2.8553868402024585
7xf97,1,23,5,92.47945205479452,78,118,86.13698630136986,69.21917808219177,1.2556742618316283,1.3180478743760258,1.2568508369130498,1.3506040688353222,1.6955196479674899,1.0962769955606613,1.065784000002907,1.0729659927830504,1.2635802758435721,283.4931506849315,0.6541095890410958,0.7099767981438515,6.346297681376216,3.3028375733855184,1.4831495661660588,1.60306819528952,1.4785957635905793,1.5954668977792452,2.0074786675870775,1.3632548422413138,1.2764331373533384,1.1739460608340968,1.4926326984059062,194.24657534246575,0.5092954990215264,0.5823665893271461,9.588856868395773,3.3028375733855184
SET,1,12,3,133.88888888888889,72,158,127.78787878787878,100.47474747474747,2.4160654371368673,2.6325041732904757,2.4441342889475672,2.531289922634337,3.223392457587389,1.819315125808424,2.0095379369932886,1.51971279504974,2.477258878675719,1318.2121212121212,1.1094257854821234,0.8657844990548205,6.3275390625,2.8721560130010833,2.61858079817096,2.867691695388883,2.6443606186344772,2.743394287067698,3.497433177207035,1.9040295277176664,2.1603777286433092,1.6240923739621125,2.685127845267245,1341.2121212121212,1.0719393282773564,0.7873345935727788,7.085304224782696,2.8721560130010833
bt3gb,1,12,7,94.98936170212765,76,117,88.47872340425532,68.12765957446808,0.21262347412443666,0.02636980723639709,0.21054989360510698,0.2283711054583977,0.2976667914167486,0.2247169682925748,0.12938161077027208,0.16103289361641226,0.21813535335647125,0.0,0.009708737864077669,0.034,78.33333333333333,3.61205501618123,1.2510821467029827,1.3103325659313705,1.2522118938290963,1.3435318170374504,1.7487037445966476,1.1326112890243698,1.2234310662973316,0.9560992793861753,1.2846774258477658,146.2127659574468,0.4575242718446602,0.566,9.885941644562335,3.61205501618123
colour_lines,1,12,4,108.41284403669725,65,163,105.13761467889908,88.20183486238533,1.0981763028850868,1.118257666016339,1.101971735635102,1.1337430590204773,1.3403933882557348,1.0068122739024412,1.032012310159322,0.932554097027401,1.111157709916913,187.26605504587155,0.6062650602409638,0.6131687242798354,10.35135135135135,5.694939759036145,1.1120483498541336,1.1352641798832734,1.1151730557671151,1.1480892450186106,1.3570414402308242,1.0157197270479514,1.0443429686028876,0.9428796115376797,1.125198937553582,175.54128440366972,0.5990361445783132,0.6111111111111112,10.601769911504425,5.694939759036145
diffusion,1,28,8,82.60526315789474,62,123,79.48245614035088,68.06140350877193,1.233411243321285,1.2956457980135512,1.2512477434427098,1.2826352035140907,1.4926364211429146,1.073318491399862,1.1186481421853534,1.0348828001803532,1.2432930226528092,226.49122807017545,0.9739284136102518,0.8483245149911817,5.346188747731397,4.161290322580645,1.2371731944441133,1.3072078980058943,1.236062440267601,1.2875232681350348,1.4942941984520448,1.0802582907670526,1.053385183007255,1.025981810067244,1.2478383485884499,112.2280701754386,0.7114449845338047,0.6014109347442681,7.229813664596273,4.161290322580645
dino,1,18,7,104.41747572815534,89,110,95.5631067961165,66.7378640776699,0.6903218656837685,0.6251204636217544,0.691864249186425,0.7544701885713789,1.0811159579552505,0.7633704837287753,0.7350519968865923,0.5382290862449474,0.7539946288585788,92.07766990291262,0.24164661855118952,0.34281200631911535,8.231194690265486,2.874899759422614,0.9096010764007242,0.8904146686671832,0.910553231055323,0.9939309541206038,1.4259626901837195,0.9310148157831061,0.9051155477162482,0.6990380931925079,0.9934002569950935,86.48543689320388,0.25634856990109595,0.34913112164297,10.211678832116789,2.874899759422614
dq8gc,1,29,5,86.72826086956522,72,94,80.95652173913044,60.858695652173914,0.6235491773843898,0.5246152849282432,0.6236370472490287,0.6679540011751454,0.8893788553501928,0.7079700323548989,0.7454689059576691,0.4792768680998268,0.6483056758207162,65.69565217391305,0.25720823798627,0.33642691415313225,8.854092526690392,3.6517162471395883,1.0449997778797877,1.0571456795078038,1.0441158039854619,1.1196632555682153,1.491291794426367,0.9618509678930296,1.0675334053751553,0.8024943823358381,1.086671666926076,104.69565217391305,0.5638443935926774,0.6844547563805105,6.762175324675325,3.6517162471395883
eahcw,1,28,5,106.82051282051282,59,183,101.92307692307692,76.3076923076923,0.8342770022153371,0.7910451750757006,0.856697071531445,0.8761572685798606,1.175856462054466,0.842418288379394,0.8577011272884463,0.6517012083362653,0.8489872243196999,181.43589743589743,0.3443708609271523,0.5119825708061002,7.6260683760683765,3.0654893303899926,1.2123372752960508,1.2597220627067076,1.209913586173788,1.2749967528423005,1.7177912258516552,1.092045517478572,1.235937665229215,0.9221637939002034,1.2346413325090693,205.52564102564102,0.681383370125092,0.9629629629629629,5.443304535637149,3.0654893303899926
egg,1,8,5,78.63513513513513,72,101,73.62162162162163,57.28378378378378,1.2664995480404904,1.348138552076274,1.2610414160508678,1.3530851967005635,1.7399894759506103,1.0864458689366265,1.098948932628172,1.0403249361639482,1.2772344593731095,197.44594594594594,1.124274099883856,0.9562982005141388,3.790289256198347,3.3792102206736354,1.9621219298069552,2.2538175143046417,1.9518817666265682,2.096306496281009,2.696904046876099,1.534333600696553,1.6996527418095013,1.5797413768074067,1.9785988295381451,325.8918918918919,1.410569105691057,1.2262210796915167,4.675998353231782,3.3792102206736354
f5w3n,1,20,10,95.13636363636364,73,118,89.5909090909091,72.44545454545455,0.9988916545697157,0.9982206196347173,0.9996177735308169,1.0617261936346059,1.319083655054567,0.9656200929823305,1.0192120571505396,0.8108706183177986,1.0282750966320855,143.21818181818182,0.47426900584795323,0.4755784061696658,6.44944512946979,3.059941520467836,0.7650659931296308,0.7083315291243957,0.7672240802675584,0.8133560732367441,1.0116948031528832,0.7890424746189818,0.7731742201164461,0.6182606787617075,0.7877890497963751,77.92727272727272,0.43187134502923974,0.43958868894601544,5.436018957345971,3.059941520467836
logic_gates,1,17,5,163.46153846153845,150,170,158.69230769230768,126.0,1.5308563990729158,1.5967836710480088,1.5298823529411765,1.5781140370622044,1.9906748843469977,1.3234166325530623,1.3911379627845368,0.85637388409416,1.5921752874516506,446.7692307692308,0.49696969696969695,0.4921259842519685,6.607723577235772,2.1464646464646466,1.7732026257716962,1.8692273785441904,1.7717647058823531,1.8278474053732,2.305778066588264,1.4188185988875393,1.537189740466064,1.142721343679483,1.8437588769061266,1124.7692307692307,1.0222222222222221,0.8622047244094488,3.7203557312252964,2.1464646464646466
n2ntd,1,16,4,94.49514563106796,73,105,91.59223300970874,83.01941747572816,1.297596280301849,1.3677625908662616,1.29918832836741,1.3389056707191545,1.4778660153910108,1.0985089098430347,1.0799347971124627,0.9519686671258252,1.306617468251386,242.85436893203882,0.4048683556880278,0.4470046082949309,15.515337423312884,4.835072031793343,1.1602271588004176,1.1987373969836002,1.1589437994451866,1.1972854940411466,1.3218455957619415,1.0609075602211104,0.9154422254264921,0.8069371025463768,1.168268182997321,121.48543689320388,0.36860407352210633,0.423963133640553,15.202156334231805,4.835072031793343
s2kt7,1,23,3,77.12264150943396,66,100,70.23584905660377,50.83018867924528,0.673007858990243,0.5718665911617922,0.6746177370030582,0.7388253013262291,1.0221020051040788,0.7748122268676152,0.8143357015411514,0.5532768540090934,0.7048552851638219,46.22641509433962,0.30313152400835075,0.38924731182795697,7.596418732782369,3.4133611691022963,1.5880803746384735,1.7704627055291717,1.5839755351681957,1.7444140942742892,2.4174725490138855,1.359102197653445,1.5506040632896294,1.30375846811915,1.6644428885666325,172.45283018867926,0.8501043841336117,1.0301075268817204,6.360019646365423,3.4133611691022963
va6fq,1,24,4,97.09615384615384,72,128,93.42307692307692,82.3076923076923,1.4479574950802634,1.5582918686921456,1.435432758962171,1.5068230721474478,1.7111053961405356,1.2060898666507962,1.1959479413853173,1.2531687178380149,1.4436116151898828,363.8173076923077,0.8706331877729258,0.8211009174311926,9.087774294670846,5.512008733624454,1.604597949605075,1.7582969585161758,1.5717963953258072,1.6707359582952523,1.8975592370380845,1.3861077355502571,1.3184925666677054,1.3009688454255008,1.5997308176893072,216.52884615384616,0.7418122270742358,0.7110091743119266,11.679175864606329,5.512008733624454
