game,name,split,first_valid_idx,first_valid_iteration,ship_idx,ship_iteration,first_info_ratio,ship_info_ratio,info_change_pct,chars_change_pct,corpus_change_pct,ast_change_pct,first_train_score,ship_train_score,first_out_chars,ship_out_chars,train_test_shared_frames,test_frames
s2kt7,Ants,train,1,2,23,35,0.673007858990243,1.5880803746384735,135.9675824619898,273.06122448979596,180.44077134986222,163.99026763990267,0.09006194180351484,0.3768063958513397,46.22641509433962,172.45283018867926,4,88
s2kt7,Ants,test,1,2,23,35,0.6752712950397373,1.6116416616781073,138.66580343582768,295.9365432785973,186.23693379790942,163.99026763990267,0.09006194180351484,0.3768063958513397,40.82954545454545,161.6590909090909,4,88
colour_lines,Colour Lines,train,1,1,12,19,1.0981763028850868,1.1120483498541336,1.2631894289289125,-6.261022927689597,-1.19236883942766,133.8709677419355,0.07003296703296703,0.46684981684981686,187.26605504587155,175.54128440366972,1,88
colour_lines,Colour Lines,test,1,1,12,19,1.1052548765056864,1.1213196076264882,1.4534865633518912,-6.059989142236699,-0.49358341559724295,133.8709677419355,0.07003296703296703,0.46684981684981686,167.45454545454547,157.3068181818182,1,88
diffusion,Diffusion,train,1,1,28,38,1.233411243321285,1.2371731944441133,0.30500379684381684,-50.44926413632842,-26.950998185117967,57.90884718498659,0.15346256684491977,0.5368181818181819,226.49122807017545,112.2280701754386,0,85
diffusion,Diffusion,test,1,1,28,38,1.1867259763559637,1.1629061004026424,-2.0071925977776295,-50.324406068588715,-26.78155565905915,57.90884718498659,0.15346256684491977,0.5368181818181819,241.16470588235293,119.8,0,85
dino,Dino,train,1,1,18,25,0.6903218656837685,0.9096010764007242,31.764778376208348,-6.073386756642762,6.0840707964601615,36.98630136986301,0.08333333333333333,0.9359649122807017,92.07766990291262,86.48543689320388,20,91
dino,Dino,test,1,1,18,25,0.6885173572963549,0.9074560574891578,31.798573830080844,-5.369612328437268,-0.4602991944764101,36.98630136986301,0.08333333333333333,0.9359649122807017,91.27472527472527,86.37362637362638,20,91
dq8gc,Disease,train,1,2,29,40,0.6235491773843898,1.0449997778797877,67.58899149915689,59.36465916611515,119.21708185053382,84.43708609271523,0.558386524822695,0.7325429078014184,65.69565217391305,104.69565217391305,5,61
dq8gc,Disease,test,1,2,29,40,0.6268464478221075,1.0672967672795957,70.26446763601719,59.29710867397806,115.36458333333334,84.43708609271523,0.558386524822695,0.7325429078014184,65.77049180327869,104.77049180327869,5,61
egg,Egg,train,1,2,8,13,1.2664995480404904,1.9621219298069552,54.92480300073708,65.05372664430908,25.46487603305785,276.3779527559055,0.6000425531914894,0.8650290780141845,197.44594594594594,325.8918918918919,35,60
egg,Egg,test,1,2,8,13,1.2576793630122112,1.9481126017449024,54.897397463775334,65.3444321753164,24.42477876106195,276.3779527559055,0.6000425531914894,0.8650290780141845,196.21666666666667,324.43333333333334,35,60
7xf97,Grow,train,1,1,23,27,1.2556742618316283,1.4831495661660588,18.115789361057423,-31.481034066199566,-22.13911742707554,264.9315068493151,0.20677730496453903,0.6517085106382978,283.4931506849315,194.24657534246575,12,65
7xf97,Grow,test,1,1,23,27,1.2649404464330176,1.4635345447632249,15.699877325467693,-33.279609025683676,-20.33073929961089,264.9315068493151,0.20677730496453903,0.6517085106382978,295.9076923076923,197.43076923076924,12,65
bt3gb,Ice,train,2,2,12,22,0.8537518036610764,1.2510821467029827,46.53932692593632,-10.735857634604141,-5.985037406483784,249.8607242339833,0.140068085106383,0.7250602836879433,163.79787234042553,146.2127659574468,5,77
bt3gb,Ice,test,2,2,12,22,0.8680049525050604,1.277737081640619,47.20389301386734,-5.747841642684925,-1.828571428571435,249.8607242339833,0.140068085106383,0.7250602836879433,166.97402597402598,157.37662337662337,5,77
logic_gates,Logic Gates,train,1,2,17,20,1.5308563990729158,1.7732026257716962,15.830761581918784,151.75619834710741,105.69105691056907,-8.780487804878046,0.058350981902194836,0.2847700872801951,446.7692307692308,1124.7692307692307,13,13
logic_gates,Logic Gates,test,1,2,17,20,1.5308563990729158,1.7732026257716962,15.830761581918784,151.75619834710741,105.69105691056907,-8.780487804878046,0.058350981902194836,0.2847700872801951,446.7692307692308,1124.7692307692307,13,13
7www9,Magnets,train,1,1,14,20,0.6195601311522053,0.9474568146165626,52.924109699338295,62.33635448136958,14.366197183098596,67.25888324873097,0.8425724637681159,0.9503623188405796,35.464285714285715,57.57142857142857,22,50
7www9,Magnets,test,1,1,14,20,0.6283372986608231,0.9569776727491741,52.30317773412197,61.061946902654896,16.71732522796352,67.25888324873097,0.8425724637681159,0.9503623188405796,36.16,58.24,22,50
n2ntd,Mario,train,1,1,16,20,1.297596280301849,1.1602271588004176,-10.58642996953385,-49.97601343247781,-8.957055214723919,7.47028862478778,0.4333830104321908,0.7903471187282664,242.85436893203882,121.48543689320388,9,91
n2ntd,Mario,test,1,1,16,20,1.313698697271746,1.1541104216425937,-12.148012018325115,-50.12970168612192,-9.42126514131898,7.47028862478778,0.4333830104321908,0.7903471187282664,254.17582417582418,126.75824175824175,9,91
eahcw,Paint,train,1,1,28,37,0.8342770022153371,1.2123372752960508,45.3159169049145,13.277275296777846,97.86324786324786,110.33519553072625,0.7192081560283689,0.9069840425531914,181.43589743589743,205.52564102564102,1,49
eahcw,Paint,test,1,1,28,37,0.7202414770288234,1.1275995054208439,56.55853507249742,32.93223559214693,115.57894736842104,110.33519553072625,0.7192081560283689,0.9069840425531914,96.6734693877551,128.51020408163265,1,49
SET,SET,train,1,1,12,19,2.4160654371368673,2.61858079817096,8.382031294404069,1.744787476149967,-3.378906250000002,48.055555555555564,0.08670267774699908,0.34893536472760844,1318.2121212121212,1341.2121212121212,3,77
SET,SET,test,1,1,12,19,2.316239726857479,2.511721170652024,8.439603272833995,1.860040120571771,-3.1842304776345864,48.055555555555564,0.08670267774699908,0.34893536472760844,1236.5324675324675,1259.5324675324675,3,77
va6fq,Sand,train,1,1,24,32,1.4479574950802634,1.604597949605075,10.818028502703303,-40.484182149747596,-14.796238244514104,87.20682302771856,0.36004395604395606,0.47003296703296704,363.8173076923077,216.52884615384616,1,94
va6fq,Sand,test,1,1,24,32,1.3289054014194326,1.4944415801338262,12.45658107323373,-40.82313681868742,-14.022988505747126,87.20682302771856,0.36004395604395606,0.47003296703296704,353.86170212765956,209.40425531914894,1,94
