game,split,idx,info_ratio,corpus_ratio,mean_output_chars,n_frames
s2kt7,train,1,0.673007858990243,0.30313152400835075,46.22641509433962,106
s2kt7,test,1,0.6752712950397373,0.29033889731917045,40.82954545454545,88
s2kt7,train,4,0.9465012915930147,0.3286012526096033,73.22641509433963,106
s2kt7,test,4,0.955056787289137,0.3216995447647951,67.82954545454545,88
s2kt7,train,23,1.5880803746384735,0.8501043841336117,172.45283018867926,106
s2kt7,test,23,1.6116416616781073,0.8310571573090542,161.6590909090909,88
colour_lines,train,1,1.0981763028850868,0.6062650602409638,187.26605504587155,109
colour_lines,test,1,1.1052548765056864,0.5903263403263403,167.45454545454547,88
colour_lines,train,5,1.3151444790809328,0.6337349397590362,222.9908256880734,109
colour_lines,test,5,1.3227253282721831,0.6206293706293706,201.60227272727272,88
colour_lines,train,9,1.0981763028850868,0.6062650602409638,187.26605504587155,109
colour_lines,test,9,1.1052548765056864,0.5903263403263403,167.45454545454547,88
colour_lines,train,12,1.1120483498541336,0.5990361445783132,175.54128440366972,109
colour_lines,test,12,1.1213196076264882,0.5874125874125874,157.3068181818182,88
diffusion,train,1,1.233411243321285,0.9739284136102518,226.49122807017545,114
diffusion,test,1,1.1867259763559637,0.9875804967801288,241.16470588235293,85
diffusion,train,2,1.2081925622567689,0.7308882015024304,125.53508771929825,114
diffusion,test,2,1.1497063060757797,0.735050597976081,135.0,85
diffusion,train,3,1.2081925622567689,0.7308882015024304,125.53508771929825,114
diffusion,test,3,1.1497063060757797,0.735050597976081,135.0,85
diffusion,train,7,1.2081925622567689,0.7308882015024304,125.53508771929825,114
diffusion,test,7,1.1497063060757797,0.735050597976081,135.0,85
diffusion,train,18,2.3907947315246556,1.3349536014140522,347.0,114
diffusion,test,18,2.165527124620915,1.375804967801288,347.0,85
diffusion,train,21,1.1707784998134925,0.6871409633230225,99.01754385964912,114
diffusion,test,21,1.111008803995941,0.6899724011039559,104.58823529411765,85
diffusion,train,24,1.0199060071090396,0.6866990720282811,93.32456140350877,114
diffusion,test,24,0.9698733825714554,0.6982520699172033,100.84705882352941,85
diffusion,train,28,1.2371731944441133,0.7114449845338047,112.2280701754386,114
diffusion,test,28,1.1629061004026424,0.7230910763569457,119.8,85
dino,train,1,0.6903218656837685,0.24164661855118952,92.07766990291262,103
dino,test,1,0.6885173572963549,0.2623792270531401,91.27472527472527,91
dino,train,2,0.8383005097210103,0.26303127506014434,126.00970873786407,103
dino,test,2,0.8385651199379155,0.28653381642512077,124.97802197802197,91
dino,train,3,0.8560774343908857,0.2579524191392676,92.41747572815534,103
dino,test,3,0.8516045427274123,0.26419082125603865,92.07692307692308,91
dino,train,4,0.8560774343908857,0.2579524191392676,92.41747572815534,103
dino,test,4,0.8516045427274123,0.26419082125603865,92.07692307692308,91
dino,train,8,0.9758764155890118,0.268644747393745,108.41747572815534,103
dino,test,8,0.9707034140114941,0.2747584541062802,108.07692307692308,91
dino,train,16,1.16536998732088,0.4659182036888532,127.95145631067962,103
dino,test,16,1.1608220514024683,0.4761473429951691,127.72527472527473,91
dino,train,18,0.9096010764007242,0.25634856990109595,86.48543689320388,103
dino,test,18,0.9074560574891578,0.26117149758454106,86.37362637362638,91
dq8gc,train,1,0.6235491773843898,0.25720823798627,65.69565217391305,92
dq8gc,test,1,0.6268464478221075,0.2661122661122661,65.77049180327869,61
dq8gc,train,2,0.7115816573079755,0.2617848970251716,70.76086956521739,92
dq8gc,test,2,0.7193403560985233,0.2751212751212751,70.8360655737705,61
dq8gc,train,4,0.7115816573079755,0.2617848970251716,70.76086956521739,92
dq8gc,test,4,0.7193403560985233,0.2751212751212751,70.8360655737705,61
dq8gc,train,10,0.9221696435930238,0.34004576659038904,104.46739130434783,92
dq8gc,test,10,0.9585541658051014,0.3908523908523909,112.55737704918033,61
dq8gc,train,29,1.0449997778797877,0.5638443935926774,104.69565217391305,92
dq8gc,test,29,1.0672967672795957,0.5731115731115731,104.77049180327869,61
egg,train,1,1.2664995480404904,1.124274099883856,197.44594594594594,74
egg,test,1,1.2576793630122112,1.2098501070663812,196.21666666666667,60
egg,train,2,1.3806140081697338,1.1614401858304297,245.33783783783784,74
egg,test,2,1.371433387857094,1.243397573162027,243.85,60
egg,train,3,1.3806140081697338,1.1614401858304297,245.33783783783784,74
egg,test,3,1.371433387857094,1.243397573162027,243.85,60
egg,train,5,1.4504398859849987,1.1689895470383276,252.33783783783784,74
egg,test,5,1.4399448357260418,1.2533904354032834,250.85,60
egg,train,8,1.9621219298069552,1.410569105691057,325.8918918918919,74
egg,test,8,1.9481126017449024,1.5053533190578159,324.43333333333334,60
7xf97,train,1,1.2556742618316283,0.6541095890410958,283.4931506849315,73
7xf97,test,1,1.2649404464330176,0.592507204610951,295.9076923076923,65
7xf97,train,2,1.2467010882274054,0.6536203522504892,283.4931506849315,73
7xf97,test,2,1.255440082685983,0.5919308357348703,295.9076923076923,65
7xf97,train,7,1.2467010882274054,0.6536203522504892,283.4931506849315,73
7xf97,test,7,1.255440082685983,0.5919308357348703,295.9076923076923,65
7xf97,train,10,1.2467010882274054,0.6536203522504892,283.4931506849315,73
7xf97,test,10,1.255440082685983,0.5919308357348703,295.9076923076923,65
7xf97,train,23,1.4831495661660588,0.5092954990215264,194.24657534246575,73
7xf97,test,23,1.4635345447632249,0.47204610951008646,197.43076923076924,65
bt3gb,train,1,0.21262347412443666,0.009708737864077669,0.0,94
bt3gb,test,1,0.2164504533886684,0.012244897959183673,0.0,77
bt3gb,train,2,0.8537518036610764,0.4866504854368932,163.79787234042553,94
bt3gb,test,2,0.8680049525050604,0.44642857142857145,166.97402597402598,77
bt3gb,train,4,0.9816945925280992,0.511326860841424,203.18085106382978,94
bt3gb,test,4,0.9936143758433882,0.46479591836734696,205.45454545454547,77
bt3gb,train,6,0.9816945925280992,0.511326860841424,203.18085106382978,94
bt3gb,test,6,0.9936143758433882,0.46479591836734696,205.45454545454547,77
bt3gb,train,8,1.1663796031044131,0.4534789644012945,137.37234042553192,94
bt3gb,test,8,1.1975388145707058,0.43673469387755104,149.37662337662337,77
bt3gb,train,10,0.8323447948714912,0.4199029126213592,100.84042553191489,94
bt3gb,test,10,0.8237743291045705,0.39081632653061227,110.03896103896103,77
bt3gb,train,12,1.2510821467029827,0.4575242718446602,146.2127659574468,94
bt3gb,test,12,1.277737081640619,0.43826530612244896,157.37662337662337,77
logic_gates,train,1,1.5308563990729158,0.49696969696969695,446.7692307692308,13
logic_gates,test,1,1.5308563990729158,0.49696969696969695,446.7692307692308,13
logic_gates,train,2,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
logic_gates,test,2,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
logic_gates,train,3,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
logic_gates,test,3,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
logic_gates,train,14,0.39710045324879223,0.12727272727272726,61.38461538461539,13
logic_gates,test,14,0.39710045324879223,0.12727272727272726,61.38461538461539,13
logic_gates,train,17,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
logic_gates,test,17,1.7732026257716962,1.0222222222222221,1124.7692307692307,13
7www9,train,1,0.6195601311522053,0.25668835864063627,35.464285714285715,56
7www9,test,1,0.6283372986608231,0.26835236541598695,36.16,50
7www9,train,4,0.8321684672510067,0.2841648590021692,49.57142857142857,56
7www9,test,4,0.840591870770358,0.300163132137031,50.24,50
7www9,train,11,0.9474568146165626,0.2935647143890094,57.57142857142857,56
7www9,test,11,0.9569776727491741,0.3132137030995106,58.24,50
7www9,train,14,0.9474568146165626,0.2935647143890094,57.57142857142857,56
7www9,test,14,0.9569776727491741,0.3132137030995106,58.24,50
n2ntd,train,1,1.297596280301849,0.4048683556880278,242.85436893203882,103
n2ntd,test,1,1.313698697271746,0.4289838337182448,254.17582417582418,91
n2ntd,train,3,1.4104352742506368,0.4550422255340288,271.18446601941747,103
n2ntd,test,3,1.4206859519199553,0.49191685912240185,283.5164835164835,91
n2ntd,train,6,1.2255891401601748,0.3825136612021858,144.96116504854368,103
n2ntd,test,6,1.2172992487620886,0.39376443418013857,147.26373626373626,91
n2ntd,train,16,1.1602271588004176,0.36860407352210633,121.48543689320388,103
n2ntd,test,16,1.1541104216425937,0.38856812933025403,126.75824175824175,91
eahcw,train,1,0.8342770022153371,0.3443708609271523,181.43589743589743,78
eahcw,test,1,0.7202414770288234,0.32159783344617465,96.6734693877551,49
eahcw,train,5,0.9356635544425717,0.36019131714495956,175.7948717948718,78
eahcw,test,5,0.8185172403357699,0.33649289099526064,99.14285714285714,49
eahcw,train,10,0.8208453662271319,0.34253127299484915,181.3846153846154,78
eahcw,test,10,0.7045502526890275,0.3182125930941097,96.59183673469387,49
eahcw,train,14,1.1384003665648732,0.6272994849153789,196.7948717948718,78
eahcw,test,14,1.0498505909201912,0.6431956668923493,120.14285714285714,49
eahcw,train,28,1.2123372752960508,0.681383370125092,205.52564102564102,78
eahcw,test,28,1.1275995054208439,0.6932972241029113,128.51020408163265,49
SET,train,1,2.4160654371368673,1.1094257854821234,1318.2121212121212,99
SET,test,1,2.316239726857479,1.1244671781756181,1236.5324675324675,77
SET,train,2,2.4160654371368673,1.1094257854821234,1318.2121212121212,99
SET,test,2,2.316239726857479,1.1244671781756181,1236.5324675324675,77
SET,train,12,2.61858079817096,1.0719393282773564,1341.2121212121212,99
SET,test,12,2.511721170652024,1.0886615515771525,1259.5324675324675,77
va6fq,train,1,1.4479574950802634,0.8706331877729258,363.8173076923077,104
va6fq,test,1,1.3289054014194326,0.7913887204366282,353.86170212765956,94
va6fq,train,2,1.4488155604548263,0.7205240174672489,198.52884615384616,104
va6fq,test,2,1.3468854978082103,0.6634323832625834,191.40425531914894,94
va6fq,train,7,1.5502339496019073,0.7308951965065502,209.52884615384616,104
va6fq,test,7,1.4420092597687995,0.6725288053365677,202.40425531914894,94
va6fq,train,24,1.604597949605075,0.7418122270742358,216.52884615384616,104
va6fq,test,24,1.4944415801338262,0.6804123711340206,209.40425531914894,94
f5w3n,train,1,0.9988916545697157,0.47426900584795323,143.21818181818182,110
f5w3n,test,1,1.0181372516172589,0.4754262788365095,155.13829787234042,94
f5w3n,train,2,0.9988916545697157,0.47426900584795323,143.21818181818182,110
f5w3n,test,2,1.0181372516172589,0.4754262788365095,155.13829787234042,94
f5w3n,train,5,0.9988916545697157,0.47426900584795323,143.21818181818182,110
f5w3n,test,5,1.0181372516172589,0.4754262788365095,155.13829787234042,94
f5w3n,train,8,0.9988916545697157,0.47426900584795323,143.21818181818182,110
f5w3n,test,8,1.0181372516172589,0.4754262788365095,155.13829787234042,94
f5w3n,train,10,1.3481008340630423,0.5733918128654971,196.3181818181818,110
f5w3n,test,10,1.3546693617126997,0.5743898361751922,208.53191489361703,94
f5w3n,train,11,1.07123047170022,0.47426900584795323,143.34545454545454,110
f5w3n,test,11,1.076562591600646,0.4724172517552658,153.14893617021278,94
f5w3n,train,12,1.3481008340630423,0.5733918128654971,196.3181818181818,110
f5w3n,test,12,1.3546693617126997,0.5743898361751922,208.53191489361703,94
f5w3n,train,14,1.1280415000455306,0.4804093567251462,148.34545454545454,110
f5w3n,test,14,1.1316262705789197,0.48211300568371784,158.14893617021278,94
f5w3n,train,16,1.359955531893441,0.5733918128654971,193.52727272727273,110
f5w3n,test,16,1.367500660950585,0.5743898361751922,205.67021276595744,94
f5w3n,train,20,0.7650659931296308,0.43187134502923974,77.92727272727272,110
f5w3n,test,20,0.7828966704539325,0.4296221999331327,82.95744680851064,94
