arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7www9,6,6,1,2,0.7755434782608696,0,0,ok,0.0,train,6079,165,131,1252,56,56,1.0,0.0,2330.1071428571427,51.75,0.022209279156384595,439,1383,0.31742588575560376,0.7556185250745875,0.49783549783549785,1.7606652205350688,0.7348263260940772,1996,85,60,0.05,1.0964912280701755
Plain,7www9,7,7,4,3,0.11431159420289855,0,0,ok,0.0,test,3586,116,90,525,50,50,1.0,,2330.08,280.0,0.12016754789535124,388,1226,0.3164763458401305,0.7941039043286824,0.470873786407767,1.5522022838499185,3.9939256044698324,1515,50,50,0.02,0.7551020408163265
Plain,7www9,7,7,4,3,0.11431159420289855,0,0,ok,0.0,train,3586,116,90,525,56,56,1.0,0.0,2330.1071428571427,280.0,0.12016614809251568,415,1383,0.30007230657989875,0.7900072375570033,0.4458874458874459,1.3955169920462762,3.973095175903109,1515,56,60,0.05,0.7807017543859649
Plain,7www9,8,8,6,3,0.7947463768115941,0,0,ok,0.0,test,6079,165,131,1252,50,50,1.0,,2330.08,52.52,0.022539998626656597,408,1226,0.33278955954323003,0.7633699189254982,0.529126213592233,1.9608482871125612,0.7483411323512165,1996,81,50,0.02,1.3061224489795917
Plain,7www9,8,8,6,3,0.7947463768115941,0,0,ok,0.0,train,6079,165,131,1252,56,56,1.0,0.0,2330.1071428571427,51.75,0.022209279156384595,439,1383,0.31742588575560376,0.7556185250745875,0.49783549783549785,1.7606652205350688,0.7348263260940772,1996,85,60,0.05,1.0964912280701755
Plain,7www9,9,9,3,2,0.783695652173913,0,1,ok,0.0,test,3248,99,77,659,50,50,1.0,,2330.08,58.24,0.024994849962233057,384,1226,0.3132137030995106,0.9569776727491741,0.4854368932038835,1.3580750407830342,0.8303649072715957,1281,52,50,0.02,0.7551020408163265
Plain,7www9,9,9,3,2,0.783695652173913,0,1,ok,0.0,train,3248,99,77,659,56,56,1.0,0.0,2330.1071428571427,57.57142857142857,0.024707631470042766,406,1383,0.2935647143890094,0.9474568146165626,0.45021645021645024,1.2198120028922632,0.8171928642745018,1281,58,60,0.05,0.7807017543859649
Plain,7www9,10,15,4,3,0.8596014492753624,0,0,ok,0.0,test,3438,97,72,583,50,50,1.0,,2330.08,76.24,0.032719906612648494,403,1226,0.32871125611745516,1.1386907963124546,0.5242718446601942,1.4869494290375205,1.087117267558942,1420,75,50,0.02,1.0
Plain,7www9,10,15,4,3,0.8596014492753624,0,0,ok,0.0,train,3438,97,72,583,56,56,1.0,0.0,2330.1071428571427,75.57142857142857,0.03243259813313306,426,1383,0.3080260303687636,1.128349568127405,0.4805194805194805,1.3347794649313087,1.0726061255825587,1420,86,60,0.05,1.0
Plain,7www9,11,16,9,3,0.8888586956521739,0,1,ok,0.0,test,3248,99,77,659,50,50,1.0,,2330.08,58.24,0.024994849962233057,384,1226,0.3132137030995106,0.9569776727491741,0.4854368932038835,1.3580750407830342,0.8303649072715957,1281,52,50,0.02,0.7551020408163265
Plain,7www9,11,16,9,3,0.8888586956521739,0,1,ok,0.0,train,3248,99,77,659,56,56,1.0,0.0,2330.1071428571427,57.57142857142857,0.024707631470042766,406,1383,0.2935647143890094,0.9474568146165626,0.45021645021645024,1.2198120028922632,0.8171928642745018,1281,58,60,0.05,0.7807017543859649
Plain,7www9,12,17,2,2,0.27554347826086956,0,0,ok,0.0,test,3337,104,77,532,50,50,1.0,,2330.08,110.6,0.04746618141866374,453,1226,0.3694942903752039,1.2845519896555146,0.558252427184466,1.4893964110929854,1.576803600916245,1373,31,50,0.02,0.7193877551020408
Plain,7www9,12,17,2,2,0.27554347826086956,0,0,ok,0.0,train,3337,104,77,532,56,56,1.0,0.0,2330.1071428571427,109.71428571428571,0.04708551108931226,480,1383,0.3470715835140998,1.2782912828701332,0.5194805194805194,1.3398409255242227,1.5572434905709154,1373,35,60,0.05,0.6578947368421053
Plain,7www9,13,19,10,4,0.8670289855072464,0,0,ok,0.0,test,7564,187,125,1095,50,48,0.96,,2330.08,74.84,0.03211906887317174,396,1226,0.32300163132137033,1.1214063005005388,0.5145631067961165,2.4845024469820554,1.0669708946018017,2650,89,50,0.06,1.183673469387755
Plain,7www9,13,19,10,4,0.8670289855072464,0,0,ok,0.0,train,7564,187,125,1095,56,52,0.9285714285714286,0.1,2330.1071428571427,73.89285714285714,0.03171221433717027,417,1383,0.30151843817787416,1.1070574109650584,0.47619047619047616,2.2176428054953,1.0493045308423643,2650,104,60,0.08333333333333333,1.4473684210526316
Plain,7www9,14,20,11,4,0.9503623188405796,1,1,ok,0.0,test,3248,99,77,659,50,50,1.0,,2330.08,58.24,0.024994849962233057,384,1226,0.3132137030995106,0.9569776727491741,0.4854368932038835,1.3580750407830342,0.8303649072715957,1281,52,50,0.02,0.7551020408163265
Plain,7www9,14,20,11,4,0.9503623188405796,1,1,ok,0.0,train,3248,99,77,659,56,56,1.0,0.0,2330.1071428571427,57.57142857142857,0.024707631470042766,406,1383,0.2935647143890094,0.9474568146165626,0.45021645021645024,1.2198120028922632,0.8171928642745018,1281,58,60,0.05,0.7807017543859649
Plain,7www9,15,21,6,3,0.0,0,0,syntax,1.0,test,4744,137,110,-1,50,1,0.02,,2330.08,0.0,0.0,24,1226,0.01957585644371941,0.2852804003192737,0.0825242718446602,1.3287112561174552,0.0,1605,0,50,1.0,0.0
Plain,7www9,15,21,6,3,0.0,0,0,syntax,1.0,train,4744,137,110,-1,56,1,0.017857142857142856,1.0,2330.1071428571427,0.0,0.0,24,1383,0.01735357917570499,0.28379251256450777,0.0735930735930736,1.177874186550976,0.0,1605,0,60,1.0,0.0
Plain,7www9,16,22,14,5,0.917391304347826,0,0,ok,0.0,test,3425,103,81,678,50,50,1.0,,2330.08,65.24,0.027999038659616837,398,1226,0.32463295269168024,1.0568258128609198,0.49029126213592233,1.371125611745514,0.9302130473833415,1283,53,50,0.02,0.7551020408163265
Plain,7www9,16,22,14,5,0.917391304347826,0,0,ok,0.0,train,3425,103,81,678,56,56,1.0,0.0,2330.1071428571427,64.57142857142857,0.027711785172355657,420,1383,0.3036876355748373,1.0467841940141402,0.46320346320346323,1.2313810556760665,0.9165202436720794,1283,59,60,0.05,0.7807017543859649
Plain,7www9,17,23,11,4,0.9170289855072463,0,0,ok,0.0,test,3303,97,68,611,50,50,1.0,,2330.08,55.24,0.023707340520497153,381,1226,0.3107667210440457,0.9141856127012831,0.47572815533980584,1.429037520391517,0.7875728472237046,1371,52,50,0.02,0.7551020408163265
Plain,7www9,17,23,11,4,0.9170289855072463,0,0,ok,0.0,train,3303,97,68,611,56,56,1.0,0.0,2330.1071428571427,54.57142857142857,0.02342013702619438,403,1383,0.2913955169920463,0.9048879377318865,0.44155844155844154,1.2827187274041938,0.7746239873898256,1371,58,60,0.05,0.7807017543859649
Plain,7www9,18,24,14,5,0.9218297101449274,0,0,ok,0.0,test,3248,99,77,659,50,50,1.0,,2330.08,58.24,0.024994849962233057,384,1226,0.3132137030995106,0.9569776727491741,0.4854368932038835,1.3580750407830342,0.8303649072715957,1281,52,50,0.02,0.7551020408163265
Plain,7www9,18,24,14,5,0.9218297101449274,0,0,ok,0.0,train,3248,99,77,659,56,56,1.0,0.0,2330.1071428571427,57.57142857142857,0.024707631470042766,406,1383,0.2935647143890094,0.9474568146165626,0.45021645021645024,1.2198120028922632,0.8171928642745018,1281,58,60,0.05,0.7807017543859649
